,word,origin_type,source_language,original_word
518,mason,earlier,Late Latin,"matiō, -nem"
519,latch,earlier,Late Latin,lacium
520,jewel,earlier,Late Latin,gaudiellum
521,fault,earlier,Late Latin,fallita
522,expensive,immediate,Late Latin,expensīvus
523,embrace,earlier,Late Latin,imbracchiāre
524,electricity,immediate,Late Latin,ēlectricus
525,easy,earlier,Late Latin,ad-asium
526,dress,earlier,Late Latin,dīrectiāre
527,disease,earlier,Late Latin,dis-asia
528,dinner,earlier,Late Latin,disjūnāre
529,destroy,earlier,Late Latin,dēstrūgere
530,corner,earlier,Late Latin,cornerium
531,"cloak, clock",earlier,Late Latin,clocca
532,citizen,earlier,Late Latin,cīvitātānus
533,chisel,earlier,Late Latin,cisellium
534,chimney,earlier,Late Latin,caminata
535,chase,earlier,Late Latin,captiāre
536,carpenter,earlier,Late Latin,carpentārius
537,button,earlier,Late Latin,bottāre
538,beautiful,earlier,Late Latin,"bellitā-s, -tis"
539,"battle, battle-axe","immediate, earlier",Late Latin,battuālia
540,astonished,earlier,Late Latin,ex-tonāre
541,armour,earlier,Late Latin,armātūra
542,ambush,earlier,Late Latin,imboscāre
543,plastic,immediate,Italian,plastica
544,carcass,earlier,Italian,carcassa
545,brave,earlier,Italian,bravo
546,attack,earlier,Italian,attaccare
547,wine,earlier,Greek,(w)oînos
548,tendon,earlier,Greek,tēnōn
549,television,immediate,Greek,tēle
550,telephone,immediate,Greek,tēle + phōnē
551,stomach,earlier,Greek,stómakhos
552,squirrel,earlier,Greek,skíouros
553,spleen,earlier,Greek,splēn
554,scorpion,earlier,Greek,skorpios
555,school,earlier,Greek,skholē
556,scar,earlier,Greek,eskhárā
557,pumpkin,earlier,Greek,pépōn
558,priest,earlier,Greek,presbúteros
559,postcard,earlier,Greek,khártēs
560,police,earlier,Greek,pólis
561,poet,earlier,Greek,poiētēs
562,plastic,earlier,Greek,plássein
563,place,earlier,Greek,plateía
564,person,earlier,Greek,prósōpon
